618,25
395,45
499,32
621,28
521,28
76,21
206,15
135,42
531,29
437,24
360,17
548,28
595,23
6,17
450,20
599,20
414,27
11,28
137,37
43,30
417,14
394,27
160,35
516,41
146,22
282,68
221,12
147,20
413,22
198,26
172,27
598,21
168,22
569,64
247,47
63,40
441,32
483,40
150,63
311,40
202,21
38,24
286,28
174,31
459,15
238,18
340,22
551,22
514,41
105,37
472,56
431,23
350,35
0,21
539,20
261,238
438,38
442,37
300,18
364,19
95,25
357,19
623,25
331,39
143,19
187,23
391,17
456,46
212,39
565,88
383,34
484,43
79,11
359,20
310,54
446,45
30,29
430,39
319,24
376,71
127,46
101,22
74,21
392,21
128,28
555,29
466,36
317,40
409,14
249,110
16,22
586,39
225,47
67,32
365,19
440,21
602,28
557,35
405,24
55,30
422,64
177,20
411,36
308,33
477,44
553,34
19,23
597,21
119,62
517,13
291,23
418,40
501,29
370,21
180,39
398,22
125,19
622,16
293,23
338,50
387,22
509,25
397,35
272,28
367,98
603,33
226,18
487,55
210,160
228,19
292,50
33,25
265,36
118,18
436,13
429,62
154,21
504,22
183,18
171,20
474,30
200,20
460,17
458,23
540,27
251,21
257,26
175,21
306,35
37,101
224,31
185,29
92,32
508,20
155,23
316,18
203,20
148,46
434,23
256,22
88,14
34,18
24,16
525,27
620,31
601,56
114,33
361,27
415,19
61,53
604,23
115,20
13,26
93,22
303,15
296,38
510,16
447,21
50,23
573,37
182,18
259,60
68,21
378,45
129,32
356,18
132,30
231,29
188,36
335,115
375,13
52,38
626,20
211,90
281,28
196,21
195,52
363,23
3,51
284,78
608,64
614,21
607,18
594,33
513,25
576,30
467,23
103,13
70,15
542,112
240,13
468,35
56,23
471,58
252,25
399,121
245,23
600,14
289,117
275,27
181,84
568,19
162,44
190,19
490,30
170,26
412,20
314,38
232,41
18,114
329,17
489,34
579,18
541,49
464,17
345,21
615,27
87,29
384,22
230,25
593,34
349,74
313,23
2,42
389,27
250,31
476,25
40,39
7,15
396,20
480,17
588,55
192,77
580,33
342,24
427,21
572,23
518,14
403,27
264,105
373,70
423,19
208,21
133,21
152,17
564,22
149,29
439,56
346,15
362,24
145,24
277,34
312,27
334,42
546,39
22,19
386,22
290,16
481,22
426,24
72,17
537,27
497,27
58,45
254,25
227,21
324,17
453,31
36,52
35,37
186,30
563,37
561,28
301,51
241,45
428,31
113,39
358,23
59,32
352,32
283,17
616,36
610,28
327,24
32,23
611,50
469,33
538,24
482,18
448,19
27,21
237,20
57,43
69,19
577,21
28,67
201,112
176,16
102,30
343,16
493,31
520,31
333,26
122,31
214,18
219,11
25,23
207,38
532,299
39,21
218,41
270,16
589,16
66,18
71,27
587,70
246,22
549,25
45,28
169,54
527,27
318,26
552,54
5,55
496,16
351,52
197,29
488,25
126,14
15,27
90,42
515,90
325,36
269,48
401,20
14,18
424,263
570,50
116,38
547,40
108,43
134,23
473,15
204,16
73,37
209,45
544,22
271,29
112,30
320,68
161,22
81,13
500,77
523,23
590,12
368,24
534,51
486,24
130,39
287,61
77,52
123,33
12,18
157,17
529,31
233,21
84,31
503,31
236,12
624,40
454,29
404,77
326,28
48,12
121,25
279,31
355,44
294,51
299,87
382,40
140,30
559,37
609,47
596,52
78,18
86,28
194,21
617,27
451,17
159,33
366,24
606,30
390,72
522,28
463,51
495,102
321,164
591,19
173,29
98,30
332,45
627,24
315,41
443,44
278,45
193,19
305,21
75,26
260,26
502,96
163,61
96,32
385,44
625,31
535,17
29,36
592,30
575,41
158,40
189,28
8,22
80,32
97,60
406,12
166,23
64,14
478,18
528,65
223,23
47,29
253,55
153,35
117,29
491,38
402,70
220,60
91,72
416,46
20,40
400,15
49,13
371,39
258,41
348,39
273,20
42,53
330,35
262,22
4,27
21,57
205,91
492,70
297,19
288,31
100,79
268,20
17,16
354,34
276,41
83,25
216,39
578,32
554,23
505,28
179,72
120,24
124,36
31,89
584,43
85,259
498,41
99,17
239,30
280,21
255,26
613,24
106,61
605,22
533,23
46,17
131,50
109,43
341,37
274,28
455,17
560,15
165,18
138,127
410,20
323,36
574,48
581,122
344,80
111,42
41,18
217,45
54,20
419,31
612,46
89,25
377,21
107,31
243,18
309,30
26,16
479,23
457,29
51,77
374,36
408,29
191,33
337,64
144,20
9,21
263,22
545,26
475,17
307,21
567,44
234,38
393,24
110,35
167,15
507,33
222,62
512,27
619,24
322,15
302,30
420,14
543,79
462,24
449,22
336,23
628,72
248,33
461,30
388,41
494,54
445,25
562,22
550,32
506,30
156,18
339,22
407,134
452,29
53,26
242,35
519,45
432,35
136,18
229,15
199,29
151,30
425,36
44,54
530,15
524,19
347,64
582,22
470,15
60,22
571,43
82,42
244,29
380,26
139,86
372,38
141,59
583,148
465,15
267,23
444,33
235,46
585,24
62,32
556,34
558,28
511,92
298,22
1,62
65,17
485,32
104,28
304,17
266,77
285,38
421,59
184,13
379,18
369,64
178,25
10,16
23,19
433,32
566,16
435,38
164,30
215,19
526,24
328,26
381,18
536,133
295,20
353,39
213,39
94,36
142,24
