so-26190681-0-1,gh-0-1-29-47,126,126,0,0
so-22214874-5-2,gh-15-1-60-86,124,106,42,8
so-11804392-1-1,gh-0-1-39-57,136,124,55,11
so-22626000-6-1,gh-0-1-102-144,158,163,5,5
so-25926892-0-1,gh-0-1-8-21,91,87,71,22
so-5580190-0-1,gh-2-1-110-139,101,103,36,18
so-24502347-0-1,gh-5-1-271-292,78,81,28,9
so-3758230-3-1,gh-0-1-79-133,191,176,117,32
so-26189326-1-1,gh-34-1-48-63,96,101,55,19
so-22076429-0-1,gh-0-1-21-31,87,81,44,8
so-25439684-0-1,gh-2-1-133-159,156,144,41,9
so-3722236-0-1,gh-0-1-16-51,216,210,40,5
so-24182683-2-1,gh-5-1-71-82,89,87,30,8
so-10122514-0-1,gh-6-1-43-73,119,113,34,4
so-1915729-0-1,gh-2-1-97-147,200,195,16,3
so-11321385-0-1,gh-1-2-285-315,114,109,74,22
so-9901871-0-1,gh-13-1-748-772,95,99,58,23
so-9719154-0-1,gh-0-1-16-28,83,80,15,0
so-24502714-1-1,gh-0-1-20-39,99,91,60,22
so-13079891-0-1,gh-5-1-49-68,82,96,46,29
so-30506109-0-1,gh-0-1-393-415,126,126,17,7
so-17072129-10-1,gh-5-1-269-297,86,95,32,19
so-10671108-1-1,gh-1-1-38-52,89,93,5,4
so-34061650-7-4,gh-14-1-115-159,151,180,55,41
so-33847858-1-1,gh-0-1-26-62,147,163,24,20
so-27580601-1-1,gh-5-1-150-181,100,94,40,11
so-11080292-0-1,gh-0-1-11-44,84,84,1,0
so-17144162-0-5,gh-1-1-31-53,87,87,0,0
so-25408764-6-1,gh-1-1-9-33,101,101,2,0
so-33576957-1-1,gh-4-1-29-193,743,656,718,178
so-25051402-6-1,gh-2-3-40-78,149,165,54,34
so-6547312-1-1,gh-1-1-105-133,115,130,17,15
so-19312182-11-1,gh-39-1-356-390,122,135,67,34
so-2768653-0-1,gh-1-1-65-96,140,144,83,37
so-9964181-0-1,gh-3-1-18-55,114,98,32,3
so-16214919-3-1,gh-1-4-38-140,452,451,12,4
so-2362242-0-2,gh-6-1-133-173,146,172,36,30
so-33918957-0-1,gh-0-2-48-69,95,94,97,42
so-34075332-4-1,gh-7-1-234-255,118,150,47,35
so-21129850-1-1,gh-0-1-91-160,410,452,155,76
so-5432091-5-1,gh-0-1-160-206,170,169,1,0
so-17839597-1-8,gh-18-1-89-105,87,102,33,20
so-20489727-1-1,gh-0-2-271-305,101,104,24,8
so-15337758-0-1,gh-2-1-112-136,80,82,66,27
so-19218084-3-1,gh-0-1-62-91,75,90,15,15
so-10872795-1-1,gh-0-1-72-87,57,72,29,20
so-26813188-0-1,gh-8-1-299-311,93,115,65,31
so-18842741-0-5,gh-0-1-33-80,259,186,128,23
so-26489695-1-2,gh-4-1-114-155,152,167,76,38
so-24623305-4-1,gh-0-1-46-66,126,114,55,8
so-27196652-5-1,gh-0-1-1493-1521,78,85,50,17
so-20763125-1-1,gh-1-1-48-67,115,114,56,16
so-28849272-1-1,gh-1-1-277-315,216,196,85,24
so-9836732-8-1,gh-0-4-148-172,119,115,42,10
so-420324-1-1,gh-1-1-763-777,86,86,0,0
so-12267737-3-1,gh-2-1-96-121,103,104,27,10
so-6020436-1-2,gh-1-1-219-254,127,134,13,10
so-16506002-0-1,gh-1-1-59-71,99,90,30,10
so-38464084-1-1,gh-4-1-132-154,139,125,52,19
so-4093352-0-1,gh-3-1-9-64,262,300,87,48
so-30001552-0-1,gh-0-1-573-614,109,192,88,84
so-600198-2-4,gh-0-5-86-107,91,97,9,6
so-13741198-0-1,gh-11-1-81-114,121,126,91,45
so-20458763-1-1,gh-0-2-39-75,146,140,49,10
so-8989659-0-1,gh-0-1-34-49,99,91,29,8
so-14896918-9-1,gh-3-1-315-402,238,257,37,20
so-22953103-0-11,gh-0-1-34-153,475,518,268,133
so-26491824-4-1,gh-3-1-290-303,122,101,64,18
so-20121920-8-2,gh-1-16-66-119,78,106,29,28
so-36176972-6-1,gh-11-1-733-749,91,91,20,9
so-11752450-0-2,gh-2-1-22-46,87,93,51,23
so-32693661-5-1,gh-66-1-54-68,83,88,33,13
so-34805136-0-1,gh-8-1-24-48,118,124,62,26
so-7435146-0-1,gh-17-1-514-532,96,85,38,7
so-4723594-0-1,gh-0-1-26-39,95,86,67,20
so-35692618-2-1,gh-12-1-41-55,96,93,45,13
so-25908924-3-1,gh-0-9-572-596,85,95,21,15
so-28510031-1-2,gh-6-3-17-65,191,182,60,24
so-5542152-0-3,gh-15-2-1378-1408,221,174,86,10
so-4955961-7-5,gh-2-2-55-102,161,153,8,0
so-19573721-3-3,gh-4-1-56-85,117,105,25,5
