23,126,31,0
43,188,39,18
30,134,85,48
26,151,4,24
26,107,24,54
19,153,7,41
13,85,5,0
40,234,11,0
27,114,12,14
22,99,70,33
15,99,2,43
26,129,44,17
21,97,16,15
15,107,3,45
18,107,16,1
18,86,6,0
25,108,468,26
26,89,30,21
35,230,1,0
28,129,276,25
12,91,144,13
25,93,14,40
33,207,63,13
39,160,7,3
20,123,149,2
66,211,11,45
10,99,139,32
18,101,19,26
20,97,10,27
24,164,9,14
25,186,7,74
19,113,2,1
20,110,170,48
62,194,25,3
45,173,35,1
38,193,3,77
30,73,28,11
38,132,11,38
61,404,82,132
38,263,38,0
19,142,8,57
22,106,19,20
26,163,87,139
29,162,19,28
13,88,110,32
16,133,16,52
20,159,27,30
20,85,0,43
39,189,132,35
35,132,1,1
54,106,326,41
21,134,21,44
33,112,111,11
19,100,66,0
18,114,5,11
236,1181,249,78
36,94,17,0
35,138,9,53
16,110,12,52
17,95,60,0
23,118,31,0
17,100,13,19
23,156,57,14
37,241,12,10
17,96,8,17
21,100,12,1
15,114,0,26
44,159,11,21
37,186,19,10
86,336,0,0
32,151,12,80
41,156,48,18
9,84,0,32
18,76,10,7
52,227,5,90
43,155,64,4
27,156,2,14
37,122,11,5
22,106,19,20
69,461,13,317
44,176,8,41
20,88,7,0
19,111,53,38
19,107,16,6
26,222,276,103
27,355,7,21
34,132,23,11
38,140,6,0
12,104,33,1
108,418,22,31
20,120,20,40
37,155,103,5
45,213,80,12
30,89,1,28
17,97,7,19
19,219,7,45
26,123,35,24
33,140,57,9
22,100,108,8
28,128,0,10
62,331,35,49
18,111,359,23
34,135,10,30
31,187,6,0
42,168,15,70
32,168,9,28
21,103,23,42
19,111,0,9
60,231,23,58
11,107,25,14
21,138,5,10
38,178,15,10
27,133,2,2
19,95,21,47
37,195,33,46
20,124,2,15
17,124,54,19
14,100,27,6
21,109,2,2
48,175,52,46
20,102,96,17
23,122,3,35
33,106,12,28
26,114,35,13
96,342,1,130
31,122,82,24
16,107,7,17
53,197,35,8
158,584,1,97
17,121,276,59
48,168,36,12
23,105,830,25
34,170,4,34
16,102,20,12
11,109,0,88
60,269,17,24
19,120,3,23
20,124,1,75
16,104,17,16
18,83,6,0
28,178,85,97
18,154,53,45
15,113,23,64
21,97,6,0
25,105,6,40
19,120,149,19
24,54,15,0
19,103,80,0
33,139,39,44
99,306,12,16
29,143,12,24
27,154,0,0
30,131,18,43
18,92,4,31
21,110,134,17
16,92,18,13
18,140,29,48
44,200,48,4
21,93,197,0
20,130,16,15
12,121,20,4
16,96,1,30
14,85,155,0
25,112,0,30
29,178,16,5
54,217,52,79
31,113,104,19
25,131,39,4
17,97,26,36
51,254,5,0
21,142,51,90
18,97,253,34
24,113,21,12
20,109,8,34
13,92,0,11
36,134,6,0
