so-11353603-1-1,gh-0-2-80-90
so-10808650-1-1,gh-14-2-26-45,Rename,Insert_Final_Modifier,Change_Annotation,Update_Type
so-10808650-1-1,gh-15-1-27-51,Rename,Insert_Final_Modifier,Change_Comment,Update_Type
so-10808650-1-1,gh-27-1-41-60,Rename,Change_Method_Call,Change_Annotation
so-10808650-1-1,gh-28-1-20-39,Rename,Change_Method_Call,Change_Annotation
so-16018452-2-3,gh-5-1-263-293,Change_Curly_Brace,Update_Constant_Value,Change_Method_Call,Change_Conditional_Expression,Insert_If_Check,Change_Logging,Change_Access_Modifier
so-6162687-0-1,gh-1-1-300-327,Change_Comment,Change_Access_Modifier,Update_Type
so-6162687-0-1,gh-2-1-93-120,Change_Method_Call,Change_Conditional_Expression,Change_Comment
so-6162687-0-1,gh-4-2-1095-1122,Rename,Change_Curly_Brace
so-8394202-0-1,gh-0-1-148-180,Rename,Change_Method_Call,Change_Conditional_Expression,Change_Comment,Update_Type,Change_Access_Modifier
so-27455330-5-3,gh-5-1-110-163,Handle_New_Exception,Change_Method_Call,Insert_Delete_Try_Catch,Insert_If_Check,Change_Logging,Change_Comment
so-33002383-0-2,gh-51-1-60-271,Rename,Update_Constant_Value,Change_Method_Call,Change_Comment,Update_Type
so-33164852-0-2,gh-0-1-47-71,Change_Method_Call,Declare_Unknown_Variable,Change_Annotation,Change_Access_Modifier
so-4298836-0-1,gh-4-1-68-324,Insert_Final_Modifier
so-21893662-4-2,gh-5-1-45-87,Change_Method_Call,Change_Conditional_Expression
so-6446831-5-2,gh-0-1-130-153,Rename,Change_Method_Call,Resolve_Local_Method_Call
so-11854901-7-1,gh-0-2-255-279,Change_Comment
so-1153025-1-1,gh-3-1-366-385,Change_Access_Modifier
so-14194104-4-2,gh-0-1-59-81
so-14868161-0-2,gh-6-1-135-166,Handle_New_Exception,Rename,Insert_Delete_Thrown_Exception,Delete_UnKnown_Variable_Or_Call,Change_Method_Call,Insert_Delete_Try_Catch,Change_Comment,Update_Type,Change_Access_Modifier
so-14868161-0-2,gh-5-1-27-57,Handle_New_Exception,Rename,Insert_Delete_Thrown_Exception,Delete_UnKnown_Variable_Or_Call,Change_Method_Call,Insert_Delete_Try_Catch,Change_Comment,Update_Type,Change_Access_Modifier
so-26586052-0-2,gh-0-1-22-37,Update_Constant_Value,Change_Method_Call
so-24571681-1-1,gh-3-1-147-163,Rename,Change_Method_Call,Change_Conditional_Expression
so-24571681-1-1,gh-0-1-43-60,Rename,Change_Method_Call,Change_Conditional_Expression
so-24571681-1-1,gh-4-1-30-49,Change_Method_Call
so-27548268-0-1,gh-0-2-35-62,Rename,Change_Curly_Brace,Delete_UnKnown_Variable_Or_Call,Change_Method_Call,Change_Comment,Update_Type,Change_Access_Modifier
so-560958-6-2,gh-4-2-102-123,Update_Constant_Value
so-20618152-0-1,gh-0-1-226-245,Change_Method_Call,Change_Comment,Update_Type,Change_Access_Modifier
so-34673382-0-1,gh-0-1-26-52,Handle_New_Exception,Rename,Change_Catch_Block,Update_Exception_Type,Change_Logging,Change_Comment,Change_Annotation,Update_Type
so-25462286-1-1,gh-1-3-53-87,Update_Type
so-25462286-1-1,gh-4-9-52-80
so-25462286-1-1,gh-5-1-52-80,Rename
so-31243174-1-2,gh-21-1-32-50,Change_Method_Call
so-5446323-17-1,gh-0-1-298-324
so-8151453-2-1,gh-0-1-23-47,Change_Method_Call,Insert_If_Check
so-20480741-1-3,gh-4-7-187-233,Change_Comment
so-13778405-2-1,gh-1-1-366-527,Rename,Update_Constant_Value,Change_Method_Call,Change_Conditional_Expression
so-13778405-2-1,gh-0-1-219-364,Rename,Update_Constant_Value,Change_Method_Call,Change_Conditional_Expression
so-13778405-2-1,gh-2-1-529-686
so-12089127-0-5,gh-65-1-19-40,Update_Constant_Value,Change_Access_Modifier
