so-11353603-1-1,gh-0-2-80-90,81,81,0,0
so-10808650-1-1,gh-14-2-26-45,153,161,27,11
so-10808650-1-1,gh-15-1-27-51,153,167,33,17
so-10808650-1-1,gh-27-1-41-60,153,155,56,20
so-10808650-1-1,gh-28-1-20-39,153,154,51,18
so-16018452-2-3,gh-5-1-263-293,163,184,139,70
so-6162687-0-1,gh-1-1-300-327,114,117,5,3
so-6162687-0-1,gh-2-1-93-120,114,93,27,3
so-6162687-0-1,gh-4-2-1095-1122,114,115,7,1
so-8394202-0-1,gh-0-1-148-180,354,293,101,17
so-27455330-5-3,gh-5-1-110-163,198,259,77,67
so-33002383-0-2,gh-51-1-60-271,1364,1153,266,14
so-33164852-0-2,gh-0-1-47-71,57,58,19,10
so-4298836-0-1,gh-4-1-68-324,774,775,1,1
so-21893662-4-2,gh-5-1-45-87,243,218,35,4
so-6446831-5-2,gh-0-1-130-153,125,119,18,5
so-11854901-7-1,gh-0-2-255-279,102,101,3,0
so-1153025-1-1,gh-3-1-366-385,93,93,1,0
so-14194104-4-2,gh-0-1-59-81,126,126,0,0
so-14868161-0-2,gh-6-1-135-166,163,172,104,46
so-14868161-0-2,gh-5-1-27-57,163,181,64,36
so-26586052-0-2,gh-0-1-22-37,96,96,7,3
so-24571681-1-1,gh-3-1-147-163,124,135,18,13
so-24571681-1-1,gh-0-1-43-60,124,128,6,4
so-24571681-1-1,gh-4-1-30-49,124,143,20,19
so-27548268-0-1,gh-0-2-35-62,97,110,36,18
so-560958-6-2,gh-4-2-102-123,143,143,1,0
so-20618152-0-1,gh-0-1-226-245,152,113,42,0
so-34673382-0-1,gh-0-1-26-52,157,132,34,1
so-25462286-1-1,gh-1-3-53-87,178,178,9,0
so-25462286-1-1,gh-4-9-52-80,178,178,0,0
so-25462286-1-1,gh-5-1-52-80,178,178,7,0
so-31243174-1-2,gh-21-1-32-50,111,116,11,6
so-5446323-17-1,gh-0-1-298-324,143,143,0,0
so-8151453-2-1,gh-0-1-23-47,134,170,38,36
so-20480741-1-3,gh-4-7-187-233,155,159,4,4
so-13778405-2-1,gh-1-1-366-527,584,459,178,18
so-13778405-2-1,gh-0-1-219-364,584,529,111,20
so-13778405-2-1,gh-2-1-529-686,584,584,0,0
so-12089127-0-5,gh-65-1-19-40,126,127,3,1
so-5552950-3-1,gh-1-1-56-94,170,144,46,2
so-5552950-3-1,gh-10-2-39-72,170,162,61,19
so-5552950-3-1,gh-14-1-15-55,170,166,29,5
so-18004334-15-1,gh-5-1-244-261,73,73,22,5
so-18004334-15-1,gh-3-1-220-249,73,73,1,0
so-16386066-1-1,gh-0-1-105-128,113,113,12,0
so-6163701-9-4,gh-3-1-270-283,121,88,57,7
so-6163701-9-4,gh-4-1-371-378,121,111,81,30
so-6163701-9-4,gh-5-1-281-293,121,126,41,21
so-7420690-0-1,gh-4-1-333-386,168,174,70,30
so-13592567-0-2,gh-10-1-49-59,99,98,2,0
so-13592567-0-2,gh-14-1-80-106,99,125,63,39
so-7631893-2-3,gh-2-1-69-89,116,100,19,1
so-7219095-0-1,gh-0-1-30-62,132,135,38,16
so-7361989-1-1,gh-2-1-89-106,111,111,0,0
so-22563297-0-2,gh-1-1-257-301,156,149,18,3
so-12576420-3-1,gh-1-1-625-642,90,90,1,0
so-4800910-0-1,gh-0-1-16-41,107,117,17,10
so-140430-0-2,gh-3-1-71-87,109,110,4,1
so-24313590-0-1,gh-0-1-205-214,87,87,1,0
so-14815588-0-1,gh-0-2-38-59,97,117,27,20
so-34542473-0-1,gh-1-1-154-185,151,151,24,11
so-5740935-0-4,gh-0-1-108-129,83,83,1,0
so-28303955-2-4,gh-6-1-68-88,119,125,37,18
so-33711983-1-1,gh-0-1-78-161,404,422,171,82
so-33711983-1-1,gh-1-1-79-167,404,366,238,83
so-36324030-0-1,gh-1-2-137-147,84,90,32,13
so-24043510-1-1,gh-3-1-45-65,100,98,3,0
so-3758653-0-2,gh-7-1-189-212,106,139,54,40
so-5332068-1-1,gh-0-1-20-52,121,121,0,0
so-24638963-8-1,gh-0-1-127-145,131,131,17,0
so-13381228-1-5,gh-2-2-171-201,108,121,26,18
so-28797981-11-1,gh-0-1-146-165,81,81,12,5
so-6996263-2-1,gh-0-1-386-396,88,88,0,0
so-35247072-5-1,gh-1-1-137-158,128,125,61,23
so-35247072-5-1,gh-0-1-146-160,128,102,50,6
so-35247072-5-1,gh-2-1-151-185,128,147,95,45
so-26654728-2-1,gh-0-1-46-78,129,134,6,5
so-19982338-2-2,gh-8-1-64-123,331,319,16,0
so-19982338-2-2,gh-7-2-55-121,331,325,83,22
so-35247072-32-1,gh-0-1-337-354,104,101,32,11
so-35247072-32-1,gh-2-2-221-252,104,127,30,25
so-35247072-32-1,gh-1-1-248-279,104,129,34,28
so-11926880-3-1,gh-8-1-187-256,193,193,0,0
so-22468194-0-1,gh-0-1-1211-1224,80,84,4,4
